sku,product_name,category,subcategory,brand,price,cost,weight_lbs,length_in,width_in,height_in,shipping_class,stock_quantity,is_active
F-CE-00001,Apex Athletics Premier Folding Treadmill Edge,Fitness,Cardio Equipment,Apex Athletics,1095.99,763.39,155.16,72.44,30.62,58.81,OVERSIZED,20,TRUE
F-CE-00002,IronPeak Fitness Essential Rowing Machine Edge,Fitness,Cardio Equipment,IronPeak Fitness,976.99,531.21,64.29,76.28,22.38,30.92,LARGE,100,TRUE
F-CE-00003,BlueWave Sports Precision Folding Treadmill Edge,Fitness,Cardio Equipment,BlueWave Sports,1148.99,764.21,149.47,74.38,31.06,60.91,OVERSIZED,20,TRUE
F-CE-00004,Velocity Gear Classic Elliptical Trainer Edge,Fitness,Cardio Equipment,Velocity Gear,727.99,501.10,178.63,74.02,29.05,69.88,OVERSIZED,20,TRUE
F-CE-00005,CoreEdge Classic Rowing Machine Edge,Fitness,Cardio Equipment,CoreEdge,1020.92,583.19,99.46,83.09,24.72,29.78,LARGE,100,TRUE
F-CE-00006,CourtLine Trail Folding Treadmill XR,Fitness,Cardio Equipment,CourtLine,1163.99,567.09,260.68,66.93,34.30,54.96,OVERSIZED,20,TRUE
F-CE-00007,Northstar Outdoor Precision Folding Treadmill X1,Fitness,Cardio Equipment,Northstar Outdoor,1510.99,744.01,206.43,71.20,36.23,60.31,OVERSIZED,20,TRUE
F-CE-00008,CourtLine Precision Rowing Machine GT,Fitness,Cardio Equipment,CourtLine,472.99,256.75,83.29,81.23,22.94,29.08,LARGE,100,TRUE
F-CE-00009,CoreEdge Classic Exercise Bike LT,Fitness,Cardio Equipment,CoreEdge,930.99,477.98,77.47,46.38,26.00,55.36,OVERSIZED,20,TRUE
F-CE-00010,Velocity Gear Active Exercise Bike Edge,Fitness,Cardio Equipment,Velocity Gear,718.95,457.24,136.34,47.66,22.72,46.36,OVERSIZED,20,TRUE
F-CE-00011,Vantage Sport Elite Rowing Machine GT 11,Fitness,Cardio Equipment,Vantage Sport,519.99,331.56,56.31,75.30,22.92,31.24,LARGE,100,TRUE
F-CE-00012,StrikeZone Athletics Endurance Exercise Bike Max 12,Fitness,Cardio Equipment,StrikeZone Athletics,640.99,312.78,91.23,51.32,24.74,54.42,OVERSIZED,20,TRUE
F-CE-00013,BlueWave Sports Competition Folding Treadmill Max 13,Fitness,Cardio Equipment,BlueWave Sports,1517.93,962.14,253.98,68.51,30.10,55.66,OVERSIZED,20,TRUE
F-CE-00014,IronPeak Fitness Pro Folding Treadmill S 14,Fitness,Cardio Equipment,IronPeak Fitness,1045.99,736.83,212.82,74.06,37.80,53.93,OVERSIZED,20,TRUE
F-CE-00015,EverPeak Core Folding Treadmill S 15,Fitness,Cardio Equipment,EverPeak,994.99,666.28,268.69,71.51,33.12,54.14,OVERSIZED,20,TRUE
F-CE-00016,ForgeLine Competition Rowing Machine X1 16,Fitness,Cardio Equipment,ForgeLine,1265.99,617.65,71.54,78.59,24.10,26.49,LARGE,100,TRUE
F-CE-00017,Summit Sports Performance Rowing Machine Edge 17,Fitness,Cardio Equipment,Summit Sports,762.99,511.62,63.90,89.97,21.30,29.23,LARGE,100,TRUE
F-CE-00018,Pulse Athletics Premier Step Trainer S 18,Fitness,Cardio Equipment,Pulse Athletics,671.99,441.81,47.03,47.48,29.35,50.88,LARGE,100,TRUE
F-CE-00019,IronPeak Fitness Trail Folding Treadmill S 19,Fitness,Cardio Equipment,IronPeak Fitness,1036.99,501.20,198.28,82.14,35.20,51.79,OVERSIZED,20,TRUE
F-CE-00020,ForgeLine Trail Step Trainer S 20,Fitness,Cardio Equipment,ForgeLine,490.99,342.32,77.99,39.68,24.89,49.91,LARGE,100,TRUE
F-ST-00021,StrikeZone Athletics Active Weight Plate Set XR,Fitness,Strength Training,StrikeZone Athletics,334.99,190.48,55.58,24.41,21.72,14.64,LARGE,100,TRUE
F-ST-00022,Summit Sports Elite Olympic Barbell Max,Fitness,Strength Training,Summit Sports,144.99,99.40,47.31,83.88,2.95,2.71,LARGE,100,TRUE
F-ST-00023,Apex Athletics Premier Olympic Barbell X1,Fitness,Strength Training,Apex Athletics,362.99,207.07,42.80,77.93,3.14,2.89,LARGE,100,TRUE
F-ST-00024,Northstar Outdoor Precision Cast Iron Kettlebell S,Fitness,Strength Training,Northstar Outdoor,121.99,60.02,24.67,12.60,9.95,12.31,STANDARD,1000,TRUE
F-ST-00025,Summit Sports Active Weight Plate Set S,Fitness,Strength Training,Summit Sports,344.99,175.70,95.15,23.55,22.72,13.33,LARGE,100,TRUE
F-ST-00026,EverPeak Active Adjustable Dumbbell Set Max,Fitness,Strength Training,EverPeak,332.99,199.28,79.33,24.64,14.19,12.92,LARGE,100,TRUE
F-ST-00027,Apex Athletics Precision Weight Plate Set LT,Fitness,Strength Training,Apex Athletics,310.99,215.35,110.62,22.23,20.02,15.37,LARGE,100,TRUE
F-ST-00028,RidgeRunner Core Olympic Barbell NX,Fitness,Strength Training,RidgeRunner,192.25,111.77,40.28,91.39,3.00,3.18,LARGE,100,TRUE
F-ST-00029,Vantage Sport Classic Olympic Barbell Pro,Fitness,Strength Training,Vantage Sport,241.99,174.18,44.58,76.48,3.08,2.95,LARGE,100,TRUE
F-ST-00030,Summit Sports Trail Olympic Barbell LT,Fitness,Strength Training,Summit Sports,158.99,90.67,38.94,76.42,3.02,3.01,LARGE,100,TRUE
F-ST-00031,TrailForge Classic Flat Weight Bench X1,Fitness,Strength Training,TrailForge,341.99,182.36,61.67,52.76,16.71,18.72,LARGE,100,TRUE
F-ST-00032,PeakMotion Elite Flat Weight Bench X1,Fitness,Strength Training,PeakMotion,223.99,135.88,39.47,51.01,17.92,19.61,LARGE,100,TRUE
F-ST-00033,ForgeLine Essential Cast Iron Kettlebell LT 13,Fitness,Strength Training,ForgeLine,78.99,44.61,52.43,11.97,8.79,11.96,STANDARD,1000,TRUE
F-ST-00034,CoreEdge Essential Power Rack GT 14,Fitness,Strength Training,CoreEdge,1746.99,861.31,275.34,56.20,49.82,76.89,OVERSIZED,20,TRUE
F-ST-00035,Pulse Athletics Competition Weight Plate Set Max 15,Fitness,Strength Training,Pulse Athletics,303.96,174.98,78.23,22.49,23.59,14.54,LARGE,100,TRUE
F-ST-00036,Velocity Gear Active Weight Plate Set S 16,Fitness,Strength Training,Velocity Gear,266.99,141.45,216.57,21.29,20.21,13.17,LARGE,100,TRUE
F-ST-00037,Altitude Works Classic Adjustable Dumbbell Set S 17,Fitness,Strength Training,Altitude Works,473.99,325.07,85.06,26.47,17.01,11.65,LARGE,100,TRUE
F-ST-00038,Velocity Gear Trail Weight Plate Set Max 18,Fitness,Strength Training,Velocity Gear,363.99,214.97,195.59,20.50,21.91,15.41,LARGE,100,TRUE
F-ST-00039,Vantage Sport Competition Power Rack S 19,Fitness,Strength Training,Vantage Sport,515.47,368.62,160.05,54.25,49.47,85.82,OVERSIZED,20,TRUE
F-ST-00040,CoreEdge Precision Adjustable Dumbbell Set NX 20,Fitness,Strength Training,CoreEdge,297.40,162.89,62.89,25.52,15.13,12.00,LARGE,100,TRUE
F-YM-00041,Pulse Athletics Essential Yoga Block Set XR,Fitness,Yoga & Mobility,Pulse Athletics,30.47,21.72,2.35,11.61,8.19,5.94,STANDARD,1000,TRUE
F-YM-00042,Vantage Sport Elite Stretching Strap X1,Fitness,Yoga & Mobility,Vantage Sport,19.00,9.69,0.82,9.05,4.92,2.21,STANDARD,1000,TRUE
F-YM-00043,Redwood Sporting Core Foam Roller X2,Fitness,Yoga & Mobility,Redwood Sporting,15.99,9.25,2.02,22.98,6.86,7.77,STANDARD,1000,TRUE
F-YM-00044,Altitude Works Endurance Stretching Strap X2,Fitness,Yoga & Mobility,Altitude Works,15.99,10.73,0.80,8.76,4.68,2.08,STANDARD,1000,TRUE
F-YM-00045,IronPeak Fitness Competition Stretching Strap X1,Fitness,Yoga & Mobility,IronPeak Fitness,9.39,4.91,0.47,8.07,5.16,1.85,STANDARD,1000,TRUE
F-YM-00046,Redwood Sporting Pro Yoga Block Set X2,Fitness,Yoga & Mobility,Redwood Sporting,29.99,18.30,1.95,12.52,8.03,6.05,STANDARD,1000,TRUE
F-YM-00047,Northstar Outdoor Elite Yoga Mat XR,Fitness,Yoga & Mobility,Northstar Outdoor,38.06,21.32,6.03,29.00,6.52,6.17,STANDARD,1000,TRUE
F-YM-00048,EverPeak Trail Balance Board LT,Fitness,Yoga & Mobility,EverPeak,59.99,33.11,8.00,24.51,16.81,3.69,STANDARD,1000,TRUE
F-YM-00049,CoreEdge Precision Stretching Strap X2,Fitness,Yoga & Mobility,CoreEdge,25.99,18.50,0.55,9.14,5.25,2.21,STANDARD,1000,TRUE
F-YM-00050,Northstar Outdoor Elite Yoga Mat Pro,Fitness,Yoga & Mobility,Northstar Outdoor,53.99,31.48,3.77,24.93,7.74,7.75,STANDARD,1000,TRUE
F-YM-00051,Northstar Outdoor Core Balance Board Edge 11,Fitness,Yoga & Mobility,Northstar Outdoor,75.99,50.46,7.05,21.43,15.85,3.78,STANDARD,1000,TRUE
F-YM-00052,RidgeRunner Premier Stretching Strap GT 12,Fitness,Yoga & Mobility,RidgeRunner,12.99,8.17,0.95,9.84,4.70,2.03,STANDARD,1000,TRUE
F-YM-00053,EverPeak Active Balance Board Max 13,Fitness,Yoga & Mobility,EverPeak,140.99,96.73,8.72,24.04,16.96,4.00,STANDARD,1000,TRUE
F-YM-00054,BlueWave Sports Essential Balance Board X2 14,Fitness,Yoga & Mobility,BlueWave Sports,128.99,70.06,13.22,22.50,14.18,4.46,STANDARD,1000,TRUE
F-YM-00055,TitanTrail Essential Balance Board XR 15,Fitness,Yoga & Mobility,TitanTrail,107.99,71.03,4.19,19.80,17.75,4.43,STANDARD,1000,TRUE
F-YM-00056,Summit Sports Essential Balance Board Edge 16,Fitness,Yoga & Mobility,Summit Sports,74.31,46.77,4.60,24.36,16.50,3.55,STANDARD,1000,TRUE
F-YM-00057,ForgeLine Premier Yoga Block Set NX 17,Fitness,Yoga & Mobility,ForgeLine,26.99,18.34,3.63,10.59,8.90,6.36,STANDARD,1000,TRUE
F-YM-00058,Apex Athletics Endurance Foam Roller LT 18,Fitness,Yoga & Mobility,Apex Athletics,16.99,11.67,2.46,24.51,6.21,6.81,STANDARD,1000,TRUE
F-YM-00059,BlueWave Sports Classic Balance Board S 19,Fitness,Yoga & Mobility,BlueWave Sports,39.17,22.97,6.53,20.16,16.84,3.71,STANDARD,1000,TRUE
F-YM-00060,RidgeRunner Classic Yoga Block Set S 20,Fitness,Yoga & Mobility,RidgeRunner,21.99,15.32,2.16,12.49,9.06,5.50,STANDARD,1000,TRUE
F-HGE-00061,BlueWave Sports Premier Multi-Station Home Gym Edge,Fitness,Home Gym Equipment,BlueWave Sports,1873.99,1015.12,383.93,72.68,56.37,82.02,OVERSIZED,20,TRUE
F-HGE-00062,BlueWave Sports Trail Adjustable Bench Pro,Fitness,Home Gym Equipment,BlueWave Sports,478.99,312.75,72.61,62.43,22.63,21.80,LARGE,100,TRUE
F-HGE-00063,RidgeRunner Active Cable Pulley Station XR,Fitness,Home Gym Equipment,RidgeRunner,1052.99,747.30,140.84,44.47,41.13,73.60,OVERSIZED,20,TRUE
F-HGE-00064,Apex Athletics Classic Functional Trainer X2,Fitness,Home Gym Equipment,Apex Athletics,3401.99,2099.61,336.72,70.57,46.11,84.73,OVERSIZED,20,TRUE
F-HGE-00065,CoreEdge Pro Adjustable Bench X1,Fitness,Home Gym Equipment,CoreEdge,602.99,360.23,60.99,57.13,26.30,20.32,LARGE,100,TRUE
F-HGE-00066,ForgeLine Pro Adjustable Bench LT,Fitness,Home Gym Equipment,ForgeLine,228.52,111.34,90.68,54.94,25.40,18.33,LARGE,100,TRUE
F-HGE-00067,Altitude Works Pro Multi-Station Home Gym GT,Fitness,Home Gym Equipment,Altitude Works,1524.34,854.84,358.37,87.26,64.02,90.24,OVERSIZED,20,TRUE
F-HGE-00068,Altitude Works Competition Functional Trainer Edge,Fitness,Home Gym Equipment,Altitude Works,2551.99,1385.23,475.39,67.08,54.32,75.33,OVERSIZED,20,TRUE
F-HGE-00069,CoreEdge Trail Multi-Station Home Gym NX 9,Fitness,Home Gym Equipment,CoreEdge,1216.99,853.56,529.09,85.64,57.16,87.42,OVERSIZED,20,TRUE
